"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"L2-1",-8.0325,4.1376,2.2046,-10.018,7.3848,-0.72355,1.1671,0.13727,-1.3513,-1.9335e-15
"L2-2",-11.533,-4.1003,2.6508,-0.9703,-3.5515,1.0476,-0.698,-7.0546,1.5385,1.2309e-16
"L2-3",-7.1776,-3.1642,-0.18249,-3.8669,-6.9219,4.6729,0.041831,4.5479,-1.8705,-2.1089e-16
"L2-4",-10.818,-1.3478,-0.91906,6.596,-0.66358,-5.9128,2.4626,0.74583,-4.0046,-8.8288e-17
"L2-5",-11.672,7.3788,-0.17301,5.931,2.369,1.1419,-3.1689,2.4779,4.453,-7.4997e-16
"L1-1",9.8728,-10.351,10.576,3.6722,4.3498,1.6365,-0.19396,1.1213,0.10481,3.1729e-16
"L1-2",13.449,6.2893,6.0779,-3.4025,-5.5144,-5.013,-0.20128,0.65377,2.1173,-1.0675e-15
"L1-3",10.693,9.3646,-1.8741,3.9758,0.37766,4.7509,4.3123,-2.1704,-1.7912,-3.5588e-15
"L1-4",9.6885,-0.56621,-7.1094,-0.29791,1.0398,-0.36359,-7.1263,-1.1407,-3.0515,4.7298e-15
"L1-5",5.5309,-7.6413,-11.251,-1.6191,1.1303,-1.2368,3.4047,0.68159,3.8555,1.4544e-15
