"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Uridine","Uridine","HMDB0000296","6029","C00299","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"Fumaric acid","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
"4-Guanidinobutanoic acid","4-Guanidinobutanoic acid","HMDB0003464","500","C01035","C(CC(=O)O)CN=C(N)N","1"
"Thr-Asp","Threoninyl-Aspartate","HMDB0029057","7016067",NA,"CC(O)C(N)C(=O)NC(CC(O)=O)C(O)=O","1"
"Hexylamine","Hexylamine","HMDB0032323","8102","C08306","CCCCCCN","1"
"Sarcosine","Sarcosine","HMDB0000271","1088","C00213","CNCC(=O)O","1"
"2-Methylserine","NA","NA","NA","NA","NA","0"
"Ectoine","Ectoine","METPA0797",NA,"C06231",NA,"1"
"L-Homoserine","L-Homoserine","HMDB0000719","12647","C00263","C(CO)[C@@H](C(=O)O)N","1"
"cis-Aconitic acid","cis-Aconitic acid","HMDB0000072","643757","C00417","C(/C(=C/C(=O)O)/C(=O)O)C(=O)O","1"
"Dimethylglycine","Dimethylglycine","HMDB0000092","673","C01026","CN(C)CC(=O)O","1"
"Cysteic acid","Cysteic acid","HMDB0002757","25701","C00506","C(C(C(=O)O)N)S(=O)(=O)O","1"
"Urea","Urea","HMDB0000294","2447","C00086","C(=O)(N)N","1"
"Isobutyryl-CoA","Isobutyryl-CoA","HMDB0001243","3036931","C00630","CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O","1"
"L-Acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"Glycolic acid","Glycolic acid","HMDB0000115","757","C03547","C(C(=O)O)O","1"
"Isocitric acid","Isocitric acid","HMDB0000193","1198","C00311","C(C(C(C(=O)O)O)C(=O)O)C(=O)O","1"
"Trehalose 6-phosphate","Trehalose 6-phosphate","HMDB0001124","122336","C00689","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)O)O)O)O)O","1"
"ADP-ribose","Adenosine diphosphate ribose","HMDB0001178","33576","C00301","C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O","1"
"N-Acetylleucine","N-Acetylleucine","HMDB0011756","70912","C02710","CC(C)C[C@@H](C(=O)O)NC(=O)C","1"
"Ornithine","Ornithine","HMDB0000214","6262","C00077","C(C[C@@H](C(=O)O)N)CN","1"
"N-Acetylhistidine","N-Acetylhistidine","HMDB0032055","273260","C02997","CC(=O)NC(CC1=CN=CN1)C(=O)O","1"
"N-Acetylornithine","N-Acetylornithine","HMDB0003357","439232","C00437","CC(=O)N[C@@H](CCCN)C(=O)O","1"
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","C00111","C(C(=O)COP(=O)(O)O)O","1"
"Malic acid","Malic acid","HMDB0000744","525","C03668","C(C(C(=O)O)O)C(=O)O","1"
"Glycylleucine","Glycylleucine","HMDB0000759","92843","C02155","CC(C)C[C@@H](C(=O)O)NC(=O)CN","1"
"Trimethylamine N-oxide","Trimethylamine N-oxide","HMDB0000925","1145","C01104","C[N+](C)(C)[O-]","1"
"L-Theanine","L-Theanine","HMDB0034365","439378","C01047","CCNC(=O)CCC(C(=O)O)N","1"
"Glucosamine","Glucosamine","HMDB0001514","439213","C00329","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O","1"
"2-Phosphoglyceric acid","2-Phosphoglyceric acid","HMDB0000362","59",NA,"C(C(C(=O)O)OP(=O)(O)O)O","1"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","71920","C00670","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"2,4-Diaminobutyric acid","2,4-Diaminobutyric acid","HMDB0002362","470",NA,"C(CN)C(C(=O)O)N","1"
"gamma-Glutamylcysteine","gamma-Glutamylcysteine","HMDB0001049","123938","C00669","C(CC(=O)N[C@@H](CS)C(=O)O)[C@@H](C(=O)O)N","1"
"Dyphylline","Dyphylline","HMDB0014789","3182","C07819","CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"4-Trimethylammoniobutanoic acid","4-Trimethylammoniobutanoic acid","HMDB0001161","134","C01181","C[N+](C)(C)CCCC(=O)O","1"
"3-Phosphoglyceric acid","3-Phosphoglyceric acid","HMDB0000807","724","C00597","C(C(C(=O)O)O)OP(=O)(O)O","1"
"S-Methylmethionine","NA","NA","NA","NA","NA","0"
