"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Ethanolamine phosphate","O-Phosphoethanolamine","HMDB0000224","1015","C00346","C(COP(=O)(O)O)N","1"
"3-Aminobutyric acid","3-Aminobutanoic acid","HMDB0031654","10932",NA,"CC(CC(=O)O)N","1"
"Pyridoxal","Pyridoxal","HMDB0001545","1050","C00250","CC1=NC=C(C(=C1O)C=O)CO","1"
"O-Succinylhomoserine","NA","NA","NA","NA","NA","0"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000357","441","C01089","CC(CC(=O)O)O","1"
"Adipic acid","Adipic acid","HMDB0000448","196","C06104","C(CCC(=O)O)CC(=O)O","1"
"Choline","Choline","HMDB0000097","305","C00114","C[N+](C)(C)CCO","1"
"Carnitine","L-Carnitine","HMDB0000062","2724480","C00318","C[N+](C)(C)C[C@H](CC(=O)[O-])O","1"
"Suberic acid","Suberic acid","HMDB0000893","10457","C08278","C(CCCC(=O)O)CCC(=O)O","1"
"N-Acetylglucosamine 6-phosphate","N-Acetylglucosamine 6-phosphate","HMDB0002817","439219",NA,"CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)COP(=O)(O)O)O)O","1"
"Gly-Gly","Glycyl-glycine","HMDB0011733","11163","C02037","C(C(=O)NCC(=O)O)N","1"
"Lauric acid","Dodecanoic acid","HMDB0000638","3893","C02679","CCCCCCCCCCCC(=O)O","1"
"Adenosine","Adenosine","HMDB0000050","60961","C00212","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"N-methyl-L-glutamic Acid","N-methyl-L-glutamic Acid","HMDB0062660","439377","C01046","[H][C@@](CCC(O)=O)(NC)C(O)=O","1"
"7,8-Dihydrobiopterin","Dihydrobiopterin","HMDB0000038","252","C02953","CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O","1"
"Thioproline","NA","NA","NA","NA","NA","0"
"1-Methyl-4-imidazoleacetic acid","Methylimidazoleacetic acid","HMDB0002820","75810","C05828","CN1C=C(N=C1)CC(=O)O","1"
"GMP","Guanosine monophosphate","HMDB0001397","6804","C00144","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N","1"
"SDMA","Symmetric dimethylarginine","HMDB0003334","169148",NA,"CNC(=NC)NCCC[C@@H](C(=O)O)N","1"
"2,6-Diaminopimelic acid","Diaminopimelic acid","HMDB0001370","99290","C00666","C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N","1"
"3',5'-ADP","Adenosine 3',5'-diphosphate","HMDB0000061","159296","C00054","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O","1"
"Pyridoxamine 5'-phosphate","Pyridoxamine 5'-phosphate","HMDB0001555","1053","C00647","CC1=NC=C(C(=C1O)CN)COP(=O)(O)O","1"
"Pantothenic acid","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)C(C(=O)NCCC(=O)O)O","1"
"Adenine","Adenine","HMDB0000034","190","C00147","C1=NC2=C(N1)C(=NC=N2)N","1"
"2-Hydroxyisobutyric acid","Alpha-Hydroxyisobutyric acid","HMDB0000729","11671",NA,"CC(C)(C(=O)O)O","1"
"Pimelic acid","Pimelic acid","HMDB0000857","385","C02656","C(CCC(=O)O)CCC(=O)O","1"
"Guanosine","Guanosine","HMDB0000133","6802","C00387","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","1"
"Ophthalmic acid","Ophthalmic acid","HMDB0005765","7018721","C21016","CC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N","1"
"2-Hydroxyvaleric acid","2-Hydroxyvaleric acid","HMDB0001863","98009",NA,"CCCC(C(=O)O)O","1"
"2-Deoxy-D-glucose 6-phosphate","NA","NA","NA","NA","NA","0"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","C1=NC2=C(N1)C(=O)N=CN2","1"
"3-Hydroxy-3-methylglutaric acid","3-Hydroxymethylglutaric acid","HMDB0000355","1662","C03761","CC(CC(=O)O)(CC(=O)O)O","1"
"1-Methyladenosine","1-Methyladenosine","HMDB0003331","27476","C02494","CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"Betaine aldehyde","Betaine aldehyde","HMDB0001252","249","C00576","C[N+](C)(C)CC=O","1"
"Cholic acid","Cholic acid","HMDB0000619","221493","C00695","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C","1"
"5-Oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","C1CC(=O)N[C@@H]1C(=O)O","1"
"2-Aminobutyric acid","L-Alpha-aminobutyric acid","HMDB0000452","80283","C02356","CC[C@@H](C(=O)O)N","1"
"GDP","Guanosine diphosphate","HMDB0001201","8977","C00035","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N","1"
"Phosphocreatine","Phosphocreatine","HMDB0001511","587","C02305","CN(CC(=O)O)C(=NP(=O)(O)O)N","1"
"N-Acetylglucosamine-1-phosphate","N-Acetyl-glucosamine 1-phosphate","HMDB0001367","7115","C04256","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1OP(=O)(O)O)CO)O)O","1"
"Quinolinic acid","Quinolinic acid","HMDB0000232","1066","C03722","C1=CC(=C(N=C1)C(=O)O)C(=O)O","1"
"CDP-choline","Citicoline","HMDB0001413","13804","C00307","C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O","1"
"Cytidine","Cytidine","HMDB0000089","6253","C00475","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"N-Acetyl-beta-alanine","NA","NA","NA","NA","NA","0"
"Asp","L-Aspartic acid","HMDB0000191","5960","C00049","C([C@@H](C(=O)O)N)C(=O)O","1"
