"","L1-1","L1-2","L1-3","L1-4","L1-5","L2-1","L2-2","L2-3","L2-4","L2-5"
"Label","0","0","0","0","0","12","12","12","12","12"
"gamma-Glu-Cys"," 1.7114222"," 1.6968072"," 0.2791474"," 0.2353023","-0.2908395","-0.6708307","-0.7292909","-0.2908395","-0.8608264","-1.0800521"
"gamma-Glu-2-aminobutyric acid","-0.5216422","-0.1784565","-0.1784565","-1.3452877","-1.3452877"," 0.8511004"," 0.8511004"," 1.8806573"," 0.1647291","-0.1784565"
"gamma-Butyrobetaine"," 1.55176218"," 1.44634355"," 0.87708297"," 0.05481769","-0.17710329"," 0.03373396","-0.87286623","-0.87286623","-1.23128956","-0.80961505"
"beta-Ala","-1.1552626"," 0.4474138","-0.3288825","-0.9771874","-1.3555971"," 1.8497557"," 0.5670581","-0.1981086"," 0.3305520"," 0.8202587"
"Xanthosine"," 2.2815344"," 1.0161456","-0.6135219","-0.1725530"," 0.1533805"," 0.2684158","-0.5176591","-0.8052475","-0.6518670","-0.9586279"
"Xanthopterin"," 1.6183421"," 1.1110248"," 0.8573662"," 0.6037076","-0.1572684","-1.2733664","-0.6645856","-0.4109270","-0.4109270","-1.2733664"
"Xanthine"," 0.9915258","-1.0259709","-1.5118924","-0.4170313","-0.7737838"," 1.4159383"," 0.9300168","-0.6569166"," 0.6901315"," 0.3579827"
"Val","-1.22756376"," 0.96814034"," 0.43171573"," 1.15907113"," 1.23786796"," 0.20290185","-0.27897110"," 0.03015494","-1.57002693","-0.95329016"
"UTP","-0.260051","-0.260051"," 0.978287"," 0.359118"," 2.216625","-0.260051","-0.879220","-1.374555","-0.260051","-0.260051"
"Urocanic acid","-0.44662848","-0.44662848","-0.44662848","-0.44662848","-0.76564881"," 2.74357492","-0.04785305","-0.24724076"," 0.15153466","-0.04785305"
"Uridine"," 1.32827258"," 2.20181004","-0.20816212","-0.31967754","-0.06567019","-0.44358357","-0.40641176","-0.26391983","-0.64183320","-1.18082441"
"Uric acid","-1.32468748"," 1.65289868","-0.69871766","-0.61412715"," 0.84082973","-0.36035560","-0.32651939","-0.63104525"," 1.51755386","-0.05582974"
"Urea","-0.1115896"," 1.8162110"," 1.6117076"," 0.2686179","-0.4792884","-0.1345708","-1.2135224","-1.0000011","-0.3021297","-0.4554345"
"Uracil"," 1.26093798"," 2.29603632","-0.33875946","-0.62105900","-0.15055976","-0.38580938","-0.47990923","-0.05645991","-0.57400908","-0.95040847"
"UMP","-1.1949331","-1.0581087"," 1.3591224","-0.8604735"," 0.8878383","-0.6628382","-0.4195948"," 1.5415549"," 0.1733109"," 0.2341218"
"UDP-N-acetylglucosamine","-0.9546304","-0.3287877"," 0.7466038"," 0.1031318"," 1.6897751"," 1.4429639","-0.5755989","-0.1172353","-0.7607073","-1.2455150"
"UDP-glucuronic acid","-0.788116","-1.351056"," 0.337764","-0.788116"," 0.900704","-0.225176","-0.788116","-0.225176"," 1.463644"," 1.463644"
"UDP-glucose ; UDP-galactose","-0.11278484","-1.13285251","-0.08968897"," 1.30376196"," 2.21989821","-0.23211351","-0.35914081","-0.55545572","-0.38993530","-0.65168852"
"UDP"," 0.1065976"," 0.2588799"," 0.5634445"," 0.2588799"," 2.2385498"," 0.2588799","-1.1116608","-0.9593785","-0.8070962","-0.8070962"
"Tyr-Glu"," 2.1951273"," 0.9977852","-0.1995570","-0.1995570"," 0.1995570"," 0.1995570","-0.9977852","-0.1995570","-0.9977852","-0.9977852"
"Tyramine"," 1.5","-1.5"," 0.0"," 0.0"," 1.5"," 0.0"," 0.0"," 0.0","-1.5"," 0.0"
"Tyr"," 0.27796507"," 1.44668185","-0.13792964","-0.01158188"," 0.29375854"," 1.22030878","-0.09054923"," 0.14635282","-1.93312072","-1.21188559"
"Trp"," 0.3686693"," 0.6258804"," 0.9045257"," 0.9259600"," 1.4832507","-0.8530835","-0.3815298","-0.4887011","-1.5604140","-1.0245576"
"Trimethylamine N-oxide"," 2.1324509"," 0.4537130"," 0.9981685"," 0.3175991"," 0.0453713","-0.8166833","-0.9074259","-0.8166833","-0.7259407","-0.6805694"
"Trigonelline"," 0.08238287"," 2.00464982"," 0.98249200"," 0.92146765","-0.03966583","-0.86349452","-0.81772626","-0.74144582","-0.87875060","-0.64990930"
"Triethanolamine"," 2.34469409","-0.66132397"," 0.54108325","-0.06012036","-0.06012036","-1.26252759","-0.66132397","-0.66132397"," 0.54108325","-0.06012036"
"Trehalose 6-phosphate"," 0.2243002"," 0.9719673"," 1.7196345"," 0.9719673","-0.5233670"," 0.2243002","-0.5233670","-1.2710342","-1.2710342","-0.5233670"
"trans-Glutaconic acid ; Itaconic acid","-0.2708832"," 1.0835328"," 1.8574847"," 0.6965568","-1.0448352","-0.6578592","-1.2383232","-0.6578592","-0.2708832"," 0.5030688"
"threo-beta-Methylaspartic acid","-0.5404193","-0.1544055"," 1.7756633","-0.9264330"," 0.2316083"," 0.2316083"," 0.6176220","-1.6984605","-0.5404193"," 1.0036358"
"Threonic acid","-0.51427821","-0.10558030"," 0.03065234"," 0.50746658"," 0.47340842","-0.85485981"," 1.66544401"," 0.33717578"," 0.54152474","-2.08095356"
"Thr-Asp"," 1.7437146"," 0.3487429"," 0.3487429"," 0.3487429"," 0.3487429"," 0.3487429","-1.0462287"," 0.3487429","-1.7437146","-1.0462287"
"Thr","-1.5747488"," 0.9375531"," 0.6457078"," 0.8013586"," 0.6651642"," 0.1690271","-0.1495707"," 0.7746062","-1.8106571","-0.4584404"
"Thiaproline","-1.2894417","-1.0619768","-0.7776456","-0.4506648","-0.4506648"," 0.1322140"," 0.5871438"," 0.7861756"," 0.5444941"," 1.9803663"
"Thiamine phosphate","-0.292243483","-1.209085783","-0.464151414","-0.865269921","-0.063032908"," 2.229072842"," 0.452690886"," 0.911112036","-0.005730264","-0.693361989"
"Thiamine"," 1.53459742"," 1.98929295","-0.05683694","-0.05683694","-0.73888024","-0.51153247","-0.85255412"," 0.17051082","-0.62520636","-0.85255412"
"Theobromine"," 1.6995740"," 1.3787653"," 0.3874814"," 0.3897301"," 0.3069045","-0.6341594","-0.8886326","-0.4902452","-0.8848848","-1.2645335"
"Taurocholic acid","-0.1400564","-0.4868628"," 0.7803144"," 0.5097292"," 1.7368903","-0.4449412","-1.5596760","-0.7021877","-0.7650702"," 1.0718604"
"Taurine"," 0.07302259"," 0.02545998","-0.08645203","-0.68518132","-1.46856544"," 0.40316304"," 1.37679759","-1.43219404"," 1.46352940"," 0.33042023"
"Succinic acid"," 1.13358265"," 0.64406648"," 1.13465147"," 1.34200111","-0.05279934","-0.62140765","-1.46470080","-0.93991381","-0.81486273","-0.36061737"
"Suberic acid","-0.76883512","-0.76883512","-0.76883512","-1.19055903","-0.93103663"," 0.04217239"," 1.01538141"," 1.33978441"," 0.85317991"," 1.17758291"
"Stachydrine"," 0.6832396"," 0.8761193"," 1.5066879"," 0.8983747"," 0.5274520","-0.4740392","-1.1120262","-0.8152880","-1.2678137","-0.8227065"
"Spermine"," 1.0595661"," 0.8669178"," 0.2889726"," 1.0595661"," 1.2522145","-0.6742694","-0.6742694","-0.8669178","-1.0595661","-1.2522145"
"Spermidine"," 0.8386119"," 1.0616470"," 0.4594523"," 1.3738961"," 0.7493978","-0.4549916","-0.5888126","-1.1240968","-1.0794898","-1.2356143"
"Sorbitol 6-phosphate"," 0.8639732"," 0.1191687"," 1.6087777"," 0.8639732"," 0.8639732","-0.6256358","-1.2214794","-0.6256358","-0.6256358","-1.2214794"
"S-Nitrosoglutathione","-1.07813493","-1.07813493"," 1.12714106"," 1.12714106"," 1.12714106"," 0.51456440","-0.09801227","-1.07813493","-1.07813493"," 0.51456440"
