"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"gamma-Glu-Cys",-0.079629,0.020375,-0.07921,0.0063262,-0.024454,-0.016877,-0.011312,0.027747,0.0052897,0.59367
"gamma-Glu-2-aminobutyric acid",0.058642,-0.015737,-0.064582,0.067228,-0.084184,0.082604,0.058816,0.031055,-0.079635,-0.34744
"gamma-Butyrobetaine",-0.080958,-0.012043,-0.071159,0.018884,0.041935,0.0088859,0.023656,-0.0015604,0.031467,-0.2317
"beta-Ala",0.05787,-0.086869,-0.054023,0.066478,0.026461,-0.056835,0.010438,-0.028909,0.0032222,0.23335
"Xanthosine",-0.055561,0.062186,-0.090838,0.028398,0.067301,-0.054953,0.005379,0.02368,0.043697,0.066516
"Xanthopterin",-0.083591,0.027866,-0.046293,-0.043493,-0.030392,0.003647,0.00309,-0.010931,-0.053291,-0.25385
"Xanthine",0.056426,0.048029,-0.069442,0.014146,0.1167,-0.054581,-0.046737,-0.050178,-0.01981,-0.39771
"Val",-0.052063,-0.024644,0.084051,0.11036,-0.039591,0.010138,-0.025786,-0.041713,0.048599,-0.25556
"UTP",-0.047161,0.0041029,0.10527,-0.023643,0.079935,-0.029182,0.098433,-0.028205,0.087139,-0.051489
"Urocanic acid",0.043695,-0.039429,-0.032213,0.11022,0.12114,-0.03262,0.026021,-0.0029489,-0.078476,0.024678
"Uridine",-0.066614,0.021228,-0.086547,0.036131,-0.053347,-0.076475,0.023962,0.022288,0.048734,-0.0023655
"Uric acid",0.0041147,-0.027647,0.031202,-0.0067123,-0.075756,-0.23851,0.07924,0.03238,0.060548,0.028603
"Urea",-0.069986,-0.091051,-0.021467,-0.0092781,-0.0045958,-0.05114,0.044517,-0.0050195,-0.031197,0.0099766
"Uracil",-0.058068,0.01518,-0.0953,0.037622,-0.062128,-0.078942,0.032586,0.05331,0.064561,0.0049487
"UMP",0.02004,-0.019675,0.0834,-0.029569,-0.071564,0.13875,0.14877,0.084317,-0.013736,0.016515
"UDP-N-acetylglucosamine",-0.022697,-0.0060277,0.089552,0.11753,0.063753,0.021353,0.1277,-0.021095,-0.013911,0.0076307
"UDP-glucuronic acid",0.04453,-0.020917,0.075544,-0.10082,0.055156,-0.021808,0.099067,0.096524,0.033123,-0.032506
"UDP-glucose  UDP-galactose",-0.028858,0.067408,0.12578,0.010541,0.0677,0.0054263,-0.0081641,-0.030198,0.023732,0.0095613
"UDP",-0.060059,0.019459,0.078022,0.041364,0.076166,-0.029468,0.098394,0.01417,0.089657,0.028886
"Tyr-Glu",-0.064647,0.051348,-0.081081,0.03836,0.050224,0.00094959,0.022626,0.080311,0.029159,0.0090304
"Tyramine",-0.018793,0.087464,0.025571,0.0071723,0.10111,0.152,0.014385,0.0070903,0.11627,0.054612
"Tyr",-0.046581,-0.0033366,-0.038506,0.15749,0.0013394,0.017363,0.007234,-0.014094,0.063498,-0.020238
"Trp",-0.080929,0.023247,0.053925,0.022722,-0.010527,0.049948,0.0081699,-0.053168,0.076927,0.0022066
"Trimethylamine N-oxide",-0.078317,0.029279,-0.050841,-0.056527,0.053465,0.045856,0.017229,0.0062978,-0.0037955,-0.027112
"Trigonelline",-0.084131,-0.04895,-0.0061173,0.0006786,-0.050354,-0.04273,-0.034915,-0.021041,0.019211,0.042133
"Triethanolamine",-0.035792,0.062192,-0.04665,-0.13494,0.063726,0.032941,0.027461,0.032687,-0.035539,0.012375
"Trehalose 6-phosphate",-0.072011,-0.071932,-0.013539,0.014258,0.049734,0.037813,-0.024539,-0.10094,-0.025901,0.021134
"trans-Glutaconic acid  Itaconic acid",-0.053044,-0.10963,-0.0075754,-0.065909,-0.0083472,0.020306,-0.028976,0.018336,-0.048729,0.0036294
"threo-beta-Methylaspartic acid",-0.0011955,-0.081209,0.00941,-0.048371,0.072159,0.047066,0.10545,-0.15601,0.14056,-0.015368
"Threonic acid",-0.0049384,0.067317,0.03723,0.022852,-0.11814,-0.023049,0.040709,-0.18815,-0.11141,0.0083775
"Thr-Asp",-0.067467,0.041169,-0.038628,0.065399,0.052653,0.1038,-0.00029425,0.074863,0.0022229,-0.0044312
"Thr",-0.034484,-0.052443,0.069453,0.11289,-0.078972,0.073368,-0.032491,-0.010552,0.054148,-0.021527
"Thiaproline",0.083052,-0.032074,0.027755,-0.02957,-0.018763,0.031095,-0.064337,0.052966,0.060171,0.032051
"Thiamine phosphate",0.053314,0.021813,-0.0098301,0.12112,0.064518,0.054861,0.088445,0.0043013,-0.085456,-0.0011162
"Thiamine",-0.06483,0.0072091,-0.10066,0.016911,-0.050565,-0.033998,-0.019054,0.080241,-0.0057362,-0.029653
"Theobromine",-0.086451,0.034133,-0.049009,0.0073283,0.00084524,-0.015977,0.010294,0.022146,0.0095027,-0.00030658
"Taurocholic acid",-0.036614,-0.01996,0.097998,-0.04728,0.086873,0.042409,0.010409,0.096887,0.13322,0.0093895
"Taurine",0.042325,-0.028539,-0.075624,-0.059517,0.032293,-0.10891,0.015122,-0.16635,-0.046289,0.017028
"Succinic acid",-0.084703,-0.018898,-0.0016378,-0.041655,0.057526,0.022582,-0.05864,0.025013,-0.037737,-0.023731
"Suberic acid",0.085806,-0.0076839,-0.026673,-0.019374,-0.069562,0.036877,0.0006934,0.041226,0.0071348,0.00056086
"Stachydrine",-0.090306,-0.022438,0.014991,-0.00056775,0.030209,0.04322,0.012687,-0.017682,0.0051484,-0.0067609
"Spermine",-0.086217,0.045947,0.022247,0.016381,0.020859,-0.02333,-0.01429,-0.028118,0.042235,-0.00059875
"Spermidine",-0.087831,0.019778,0.014292,0.022224,0.026274,-0.033659,-0.045897,-0.062197,0.011162,-0.021183
"Sorbitol 6-phosphate",-0.083488,0.010143,0.037206,-0.025189,0.041363,0.050383,0.060167,-0.007609,-0.061529,-0.0042795
"S-Nitrosoglutathione",-0.01418,-0.042906,0.11334,0.012245,0.10219,0.077315,-0.025956,-0.10018,0.056616,-0.023517
"S-Methylmethionine",-0.081053,-0.018581,0.00084339,0.042463,0.07667,-0.0089982,-0.028589,0.064854,-0.059925,-0.0059813
"S-Lactoylglutathione",-0.091927,-0.0024298,0.02436,-0.0022349,0.020315,0.0036866,-0.0056757,-0.014291,-0.033546,-0.0085177
"Serotonin",-0.041733,0.099842,0.011578,-0.036608,-0.051858,0.061281,0.024275,-0.13911,0.067527,0.021491
"Ser-Glu",-0.062369,0.075171,-0.065254,0.034973,0.04999,0.030976,-0.015706,0.071276,0.029487,0.006723
"Ser",-0.055071,-0.014129,0.078547,0.073641,-0.06001,0.10347,0.034415,0.033092,0.07234,0.04372
"Sedoheptulose 7-phosphate",-0.065179,-0.035321,0.070129,-0.00070024,-0.063194,0.064039,0.10035,-0.042889,-0.050484,-0.01157
"SDMA",0.0817,-0.034702,-0.035205,0.03735,0.071995,0.0057806,0.014886,0.0033835,-0.023468,0.036632
"Sarcosine",-0.067903,-0.092128,0.028179,0.040539,-0.010307,-0.035401,-0.026901,-0.020108,0.020879,0.00030798
"S-Adenosylmethionine",-0.0086956,0.13991,0.03551,-0.010243,-0.037755,0.043802,0.036559,0.032261,-0.033627,0.030263
"S-Adenosylhomocysteine",-0.061776,-0.084068,0.035614,0.06706,-0.027781,-0.071602,-0.020675,0.013321,0.028019,0.0028489
"Saccharopine",-0.0047999,-0.11612,-0.016603,0.084483,0.090947,0.052612,0.026702,0.014021,-0.025602,0.030104
"Ribulose 5-phosphate",-0.0036701,0.10298,0.066689,0.054871,-0.058736,-0.028901,0.069923,0.083701,-0.10319,-0.028252
"Ribulose 1,5-diphosphate",0.045683,0.11188,-0.013221,-0.035448,0.035409,-0.039238,0.092173,-0.024741,0.063883,0.038828
"Ribose 5-phosphate",-0.049709,0.028825,-0.081113,-0.069268,0.023583,-0.036451,0.11449,0.025647,-0.12397,0.030992
"Rhein",-0.02776,0.070803,0.12262,-0.012435,0.06672,0.0073919,-0.051978,-0.012869,-0.0058118,-0.0061226
"Quinolinic acid",0.067052,-0.075274,0.026934,-0.0049779,0.09411,0.030032,0.023659,-0.053642,0.0021884,-0.011461
"Pyruvic acid",-0.088473,-0.016595,-0.045597,-0.016915,-0.016113,-0.022823,-0.0045169,-0.012495,0.013486,-0.03205
"Pyridoxamine 5'-phosphate",0.080667,-0.016987,0.029617,0.071243,0.053079,-0.0057078,0.024871,0.046443,0.0087007,0.0052445
"Pyridoxal",0.090702,-0.019174,0.0011131,0.016632,0.041038,0.01015,-0.022809,0.010918,0.022334,-0.011008
"Pyridine-2-carboxylic acid butyl ester",-0.058363,-0.036804,0.040117,0.0079385,0.073704,-0.098232,0.10881,-0.028106,-0.12461,-0.0026213
"Putrescine",-0.061969,0.057633,-0.083685,-0.040639,0.042789,0.055118,0.044154,-0.037916,-0.014688,-0.0097367
"Pterin",0.029179,-0.0098026,0.082063,0.13048,0.095052,-0.024352,0.027933,0.010464,-0.013395,-0.0074263
"Propionyl CoA_divalent",-0.023879,0.0034737,-0.10162,0.032924,0.035301,-0.087724,0.14905,0.12522,0.010484,-0.0075625
"Propionic acid",0.062101,-0.051938,-0.036995,0.043773,0.11509,-0.065261,0.013098,0.052137,-0.029614,0.031843
"Pro",-0.055409,-0.082897,0.031354,0.078462,-0.061509,-0.027961,-0.059647,0.032314,0.048778,-0.018175
"p-Nitrophenyl phosphate",-0.059462,-0.023153,-0.025733,-0.074447,0.054679,0.04877,0.091458,0.093279,0.13039,-0.01695
"Pipecolic acid",-0.01768,-0.13484,-0.049564,-0.013665,-0.015436,0.063818,0.010114,-0.012707,0.040749,-0.014192
"Pimelic acid",0.076885,-0.0016396,0.039688,0.046803,-0.0095149,0.03051,-0.10785,0.064526,-0.061396,-0.012028
"Phosphorylcholine",-0.081495,-0.036047,-0.038492,-0.062983,0.0070237,-0.0025319,-0.02535,-0.04592,-0.012699,-0.020259
"Phosphoenolpyruvic acid",-0.084431,0.025141,0.0091831,-0.0085159,0.041685,-0.027614,-0.097614,-0.0013897,-0.037938,-0.017012
"Phosphocreatine",0.069596,-0.078845,0.016857,-0.030682,0.075437,-0.023371,-0.0094841,0.042545,0.033924,0.023331
