"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"L1-1",-9.9218,-0.63321,-0.57501,-3.6647,12.8,-2.121,-1.9269,0.79125
"L1-2",-12.306,9.4482,-0.97565,-2.4829,-4.1942,-3.0169,1.285,-4.8859
"L1-3",-10.397,1.6939,-4.0647,5.5564,-2.3666,0.19794,2.064,4.3247
"L1-4",-10.106,-3.4725,2.9937,3.942,-1.2313,2.9058,-0.11517,2.7263
"L1-5",-6.8158,-10.962,1.1915,-4.1433,-5.3595,1.939,-1.3265,-2.9588
"L2-1",8.6763,5.7064,-0.26308,-1.9803,1.1689,11.283,-0.95897,-0.24889
"L2-2",11.404,-0.9257,-1.2561,-7.1597,-2.2467,-3.1247,4.2832,4.3789
"L2-3",7.4547,3.7135,9.2028,1.7697,-1.5575,-4.0938,-2.9276,1.3184
"L2-4",10.389,-3.4385,0.7383,5.4932,4.7118,-0.69865,5.161,-4.676
"L2-5",11.623,-1.1297,-6.9917,2.6695,-1.725,-3.2705,-5.538,-0.77009
