"","comp 1","comp 2","comp 3","comp 4","comp 5"
"Betonicine",-0.547,0,0,0,0
"3-Aminobutyric acid",0.47024,0,0,0,0
"Glucose 6-phosphate",-0.40832,0,0,0,0
"O-Succinylhomoserine",0.3524,0,0,0,0
"S-Lactoylglutathione",-0.27464,0,0,0,0
"Ethanolamine phosphate",0.20105,0,0,0,0
"Fructose 6-phosphate",-0.16214,0,0,0,0
"Carnitine",0.16124,0,0,0,0
"GDP-mannose  GDP-galactose",-0.10871,0,0,0,0
"Adipic acid",0.093807,0,0,0,0
"Diethanolamine",0,0.67253,0,0,0
"N-Methylproline",0,-0.3812,0,0,0
"Anthranilic acid",0,-0.3313,0,0,0
"Ribulose 1,5-diphosphate",0,0.30658,0,0,0
"N6,N6,N6-Trimethyllysine",0,0.29747,0,0,0
"Isopropanolamine",0,-0.22994,0,0,0
"threo-beta-Methylaspartic acid",0,0.2255,0.21284,0,0
"N8-Acetylspermidine",0,-0.079916,0,0,0
"Adenylosuccinic acid",0,-0.0048298,0,0,0
"Tyramine",0,0.002709,0,0,-0.038682
"gamma-Glu-Cys",0,0,0,0,0
"gamma-Glu-2-aminobutyric acid",0,0,0,0,0
"gamma-Butyrobetaine",0,0,0,0,0
"beta-Ala",0,0,0,0,0
"Xanthosine",0,0,0,0,0
"Xanthopterin",0,0,0,0,0
"Xanthine",0,0,0,0,0
"Val",0,0,0,0,0
"UTP",0,0,0,0,0
"Urocanic acid",0,0,0,0,0
"Uridine",0,0,0,0,0
"Uric acid",0,0,0,-0.78114,0
"Urea",0,0,0,0,0
"Uracil",0,0,0,0,0
"UMP",0,0,0,0,0
"UDP-N-acetylglucosamine",0,0,0,0,0
"UDP-glucuronic acid",0,0,0,0,0
"UDP-glucose  UDP-galactose",0,0,0,0,0
"UDP",0,0,0,0,0
"Tyr-Glu",0,0,0,0,0
"Tyr",0,0,0,0,0
"Trp",0,0,0,0,0
"Trimethylamine N-oxide",0,0,0,0,0
"Trigonelline",0,0,0,0,0
"Triethanolamine",0,0,0,0,0
"Trehalose 6-phosphate",0,0,0,0,0
"trans-Glutaconic acid  Itaconic acid",0,0,0,0,0
"Threonic acid",0,0,0,0,0
"Thr-Asp",0,0,0,0,-0.16747
"Thr",0,0,0,0,0
"Thiaproline",0,0,0,0,0
"Thiamine phosphate",0,0,0,0,0
"Thiamine",0,0,0,0,0
"Theobromine",0,0,0,0,0
"Taurocholic acid",0,0,0,0,0
"Taurine",0,0,0,0,0.525
"Succinic acid",0,0,0,0,0
"Suberic acid",0,0,0,0,0
"Stachydrine",0,0,0,0,0
"Spermine",0,0,0,0,0
"Spermidine",0,0,0,0,0
"Sorbitol 6-phosphate",0,0,0,0,0
"S-Nitrosoglutathione",0,0,0,0,0
"S-Methylmethionine",0,0,0,0,0
"Serotonin",0,0,0,0,0
"Ser-Glu",0,0,0,0,0
"Ser",0,0,0,0,0
"Sedoheptulose 7-phosphate",0,0,0,0,0
"SDMA",0,0,0,0,0
"Sarcosine",0,0,0,0,0
"S-Adenosylmethionine",0,0,0,0,0
"S-Adenosylhomocysteine",0,0,0,0,0
"Saccharopine",0,0,0,0,0
"Ribulose 5-phosphate",0,0,0,0,0
"Ribose 5-phosphate",0,0,0,0,0
"Rhein",0,0,0,0,0
"Quinolinic acid",0,0,0,0,0
"Pyruvic acid",0,0,0,0,0
"Pyridoxamine 5'-phosphate",0,0,0,0,0
"Pyridoxal",0,0,0,0,0
"Pyridine-2-carboxylic acid butyl ester",0,0,0,0,0
"Putrescine",0,0,0,0,0
"Pterin",0,0,0,0,0
"Propionyl CoA_divalent",0,0,0,0,0
"Propionic acid",0,0,0,0,0
"Pro",0,0,0,0,0
"p-Nitrophenyl phosphate",0,0,0,0,0
"Pipecolic acid",0,0,0,0,0
"Pimelic acid",0,0,0,0,0
"Phosphorylcholine",0,0,0,0,0
"Phosphoenolpyruvic acid",0,0,0,0,0
"Phosphocreatine",0,0,0,0,0
"Phenaceturic acid",0,0,0,0.0021997,0
"Phe",0,0,0,0,0
"Pelargonic acid",0,0,0,0,0
"Pantothenic acid",0,0,0,0,0
"Oxypurinol",0,0,0,0,0
"Ornithine",0,0,0,0,0
"Ophthalmic acid",0,0,0,0,0
"Octanoyl CoA_divalent",0,0,0,0,0
"O-Acetylcarnitine",0,0,0,0,0
"omega-N-Methylarginine",0,0,0,0,0
"N-Methylglutamic acid",0,0,0,0,0
"N-Methylalanine",0,0,0.56405,0,0
"Nicotinic acid",0,0,0,0,0
"N-Ethylmaleimide_H2O",0,0,0,0,0
"N-Carbamoylaspartic acid",0,0,0,0.31709,0
"NADPH_divalent",0,0,0,0,0
"NADP",0,0,0,0,0
"NADH",0,0,0,0,0
"NAD",0,0,0,0,0
"N-Acetyl-beta-alanine",0,0,0,0,0
"N-Acetylphenylalanine",0,0,0,0,0
"N-Acetylornithine",0,0,0,0,0
