"","comp 1","comp 2","comp 3","comp 4","comp 5"
"L1-1",-2.4394,2.3701,-1.8783,0.83307,-0.19269
"L1-2",-2.6595,-1.8215,1.638,-2.5146,0.28441
"L1-3",-2.4983,-0.26236,2.8583,2.7148,0.9779
"L1-4",-3.1733,-2.0223,-3.1211,0.72776,0.70369
"L1-5",-2.1056,2.4933,1.0246,-1.8869,-1.8117
"L2-1",2.4883,-0.95506,0.39295,0.7518,-0.49114
"L2-2",2.8928,2.4563,-0.26326,0.41673,1.6198
"L2-3",2.3696,-1.0809,-1.1326,0.63848,-3.5827
"L2-4",2.4535,-0.42599,-1.6012,-1.6741,2.2258
"L2-5",2.6718,-0.75163,2.0826,-0.0069993,0.26668
