Class,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
Row: Label:: Column: Sample,No1-1,No1-3,No6-1,No6-3,No11-1,No11-3,No16-1,No16-3,No21-1,No21-3,No31-1,No31-3,No36-1,No36-3,No41-1,No41-3,No46-1,No46-3,No51-1,No51-3
2-Hydroxypyridine::C02502,3736,2391,3438,2407,5118,4402,4245,3588,4383,5290,3790,3413,4492,3902,4264,3772,4732,5568,3417,4146
Pyruvate+Oxalacetic acid::C00022+C00036,251,172,234,181,211,190,198,183,194,209,202,183,147,160,184,201,226,250,266,285
Noise1(for silyl),594,492,536,447,473,483,464,432,451,467,530,428,562,531,526,530,446,483,450,458
Alanine_2TMS_Major::C00041,16355,14263,20288,17903,12653,11157,13821,11832,8748,10195,9779,9218,13090,14172,17476,17813,7752,8534,10753,10830
Unknown_1_Organic acid like,2274,5330,4959,5472,6349,4597,4231,3334,6204,2511,4670,4779,7513,6038,10579,4565,3330,4200,7086,3143
Noise6(for silyl),387,919,829,955,1063,806,709,581,1044,432,800,834,1281,1013,1812,783,558,726,1201,532
n-Butylamine::C18706,1390,1456,1242,1282,1207,1364,1244,1127,1097,1345,1707,1251,1740,1457,1625,1059,1116,1250,1423,1313
Oxalate::C00209,108056,83403,19787,14021,25524,26964,43401,31398,15205,9386,70533,60257,30395,30237,39641,40945,39150,31034,76053,72478
Unknown_2_Organic acid like,681,401,726,526,658,746,1109,887,847,703,1308,821,940,644,1075,832,832,859,610,518
Unknown_3_Amine like,111,151,97,129,104,127,116,120,97,141,141,122,159,143,141,129,113,123,124,134
Malonic acid::C00383,2008,1341,1349,935,1298,952,1499,1078,1146,838,1436,1089,1728,1361,1879,1621,1356,1104,3004,2611
Valine_2TMS_Major::C00183,1991,1538,4324,3417,1396,1257,1623,1421,1244,1390,1668,1530,2580,2586,3998,4604,912,1143,1774,1859
Unknown_4_Organic acid like,367,236,732,576,227,199,264,215,186,230,271,230,425,422,660,768,137,171,279,298
Unknown_5_Amine like,953,894,890,785,782,793,798,626,854,693,963,671,996,814,844,740,719,576,808,646
Urea::C00086,225,185,2,2,176,162,223,200,407,347,189,160,118,149,201,206,2,2,208,205
Serine_2TMS_Minor::C00065,592,558,426,510,429,525,251,258,368,384,380,218,530,383,364,260,300,191,265,291
2-Aminoethanol::C00189,1187,1279,1667,1465,725,803,1216,1171,1008,1107,1105,991,1707,1658,1275,1249,604,711,1400,1342
Unknown_6,2015,1985,2110,1952,1088,1169,1614,1544,985,1034,1437,1405,1296,1350,1331,1313,776,775,1172,1134
Unknown_7,20113,19692,20936,19085,10712,11478,16077,15437,9587,10241,14527,13797,12873,13346,13280,13302,7494,7532,11615,11239
Phosphate::C00009,76942,74834,79784,72110,40373,43067,61392,58624,35877,38538,55138,52167,48771,50298,50318,51150,27747,28175,43808,42387
Leucine_2TMS::C00123,1187,1216,3985,3443,795,772,1359,1191,1097,1309,1217,1248,2577,2750,4581,5363,702,888,1569,1604
Isoleucine_2TMS::C00407,867,850,2379,2058,840,776,1172,1047,733,864,1133,1162,1550,1626,3037,3994,784,946,1052,1102
Threonine_2TMS::C00188,678,636,991,1286,678,773,460,489,586,669,731,407,858,585,894,747,524,417,524,552
Proline::C00148,2166,2224,3502,2968,1215,1139,1749,1502,1438,1802,1638,1880,2810,3068,3021,3816,1009,1205,2117,2151
Glycine_3TMS_Major::C00037,1269,1112,1388,1355,861,839,818,763,789,833,687,585,750,772,991,1174,581,628,780,793
Unknown_8,2940,2639,1935,1804,1933,1952,2052,1888,1595,1734,1219,1085,2364,2185,2272,2579,1462,1440,2419,2438
Succinic acid(or aldehyde)::C00042,18422,16589,12101,11123,12149,12142,12776,11686,9892,10743,7692,6592,14804,13742,14370,16070,9086,8949,15249,15206
Glyceric acid::C00258,1719,1612,1344,1216,2555,2584,2881,2729,2034,2324,2722,2441,2600,2496,2476,2673,2867,2932,1789,1856
Fumaric acid::C00122,728,653,704,696,591,604,617,593,546,619,561,501,648,623,687,702,490,489,709,719
Serine_3TMS_Major::C00065,12226,14118,11064,11490,7814,7993,9488,9231,7734,9282,6916,7989,9000,10710,7026,8127,4583,5230,9060,8895
Alanine_3TMS_Minor::C00041,11,83,17,146,12,111,11,86,11,101,25,78,43,126,62,174,16,89,35,135
Unknwon_9,871,977,668,537,199,334,509,468,164,112,515,443,308,366,293,331,219,203,585,496
Unknown_10,412,401,440,433,286,301,392,375,476,538,459,445,402,384,592,630,457,500,644,727
Unknown_11_Sugar like,3138,3559,3256,3043,3434,3729,2776,2791,2617,3248,3368,3335,3303,2966,2823,2773,2944,2997,2872,3361
Threonine_3TMS::C00188,2764,2796,4672,4906,2208,2247,2829,2841,2109,2549,2464,2425,2465,2803,3059,3290,1423,1829,2825,2945
Unknown_12_Organic acid like,121,100,82,72,59,67,75,77,54,69,60,72,77,67,84,66,55,56,156,179
Unknown_13_Organic acid like,432,321,358,336,278,355,227,273,207,289,405,210,333,273,343,243,238,246,328,370
Unknown_14_Organic acid like,2,118,218,234,113,94,99,100,137,170,145,82,481,486,165,199,20,2,134,183
b-Alanine::C00099,212,227,366,389,169,206,148,174,223,292,227,239,744,769,311,316,83,99,253,289
